"contrast x 1E8(angle [mas]), created by Plot Digitizer, 2.6.8"
"Date: 8/30/23, 5:37:46 PM"


28
angle [mas],contrast x 1E8
31.9875,10.0269,
32.7367,6.82369,
33.4860,3.31090,
37.4194,2.50336,
41.1655,1.68237,
45.4735,1.42665,
48.4703,1.26514,
51.0926,1.17093,
55.9625,1.04980,
64.0166,1.00942,
72.2581,0.995962,
76.7534,0.942127,
80.1249,0.915209,
86.3059,0.767160,
97.3569,0.484522,
102.789,0.363392,
107.284,0.309556,
110.843,0.282638,
117.399,0.296097,
127.700,0.349933,
134.443,0.336474,
147.555,0.228802,
156.733,0.201884,
167.034,0.215343,
182.019,0.242261,
187.263,0.242261,
194.755,0.215343,
200,0.188425,
